file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume.html,18,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,15
resume.html,19,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,18
resume.html,20,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,12
resume.html,21,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,32
resume.html,22,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,23,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,24,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,3
resume.html,25,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,12
resume.html,26,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,8
resume.html,27,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,18
resume.html,28,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,39
resume.html,29,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,43
resume.html,30,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,31,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,32,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,5
resume.html,33,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,6
resume.html,34,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,17
resume.html,35,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,36,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,13
resume.html,37,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,13
resume.html,38,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,39,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,40,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,11
resume.html,41,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,45
resume.html,42,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,43,html,22f37555,MManiSSingh,2025-01-31,20:26:31,-08:00,2025-01-31T20:26:31-08:00,6,69
resume.html,44,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,45,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,46,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,13
resume.html,47,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,16
resume.html,48,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,25
resume.html,49,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,43
resume.html,50,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,51,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,52,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,53,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,14
resume.html,54,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,15
resume.html,55,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,56,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,57,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,2
resume.html,58,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,14
resume.html,59,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,16
resume.html,60,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,25
resume.html,61,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,0
resume.html,62,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,0,0
resume.html,63,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,2
resume.html,64,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,16
resume.html,65,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,6,18
resume.html,66,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,4,0
resume.html,67,html,05a9cb97,MManiSSingh,2025-01-17,20:23:58,-08:00,2025-01-17T20:23:58-08:00,0,0
resume.html,68,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,2
resume.html,69,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,14
resume.html,70,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,71,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,72,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,7
resume.html,73,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,18
resume.html,74,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,75,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,76,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,2
resume.html,77,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,19
resume.html,78,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,79,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
resume.html,80,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,0,0
resume.html,81,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,7
resume.html,82,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,6,20
resume.html,83,html,36d257e2,MManiSSingh,2025-01-17,19:57:06,-08:00,2025-01-17T19:57:06-08:00,4,0
